Name,Platform,Year_of_Release,Type_of_Game,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Gun,XB,2005,Shooter,Activision,0.38,0.12,0,0.52,79,55,7.8,29,Neversoft Entertainment,Good
The Sims 2: Open for Business,PC,2006,Simulation,Electronic Arts,0.46,0.05,0,0.52,78,29,8.6,35,Maxis,Below Average
IL-2 Sturmovik: Birds of Prey,X360,2009,Simulation,505 Games,0.23,0.23,0,0.51,80,43,8.4,18,Gaijin Entertainment,Below Average
The Walking Dead: Survival Instinct,PS3,2013,Shooter,Activision,0.28,0.15,0,0.51,34,14,3.6,196,Terminal Reality,Good
Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.51,75,45,8.4,55,Namco,Below Average
World Championship Poker,XB,2004,Misc,Crave Entertainment,0.37,0.11,0,0.51,66,7,tbd,,Coresoft,Average
Capcom Classics Collection,PS2,2005,Misc,Capcom,0.22,0.17,0.05,0.51,78,30,8.4,5,Digital Eclipse,Below Average
Disney Sing It,PS2,2008,Misc,Disney Interactive Studios,0.25,0.19,0,0.5,,,tbd,,Zoe Mode,Average
Crash: Mind Over Mutant,PS2,2008,Platform,Vivendi Games,0.25,0.19,0,0.5,73,7,6.5,36,Radical Entertainment,Excelent
R.U.S.E.,PS3,2010,Strategy,Ubisoft,0.18,0.22,0.02,0.5,76,37,7.3,50,Eugen Systems,Below Average
Goldeneye 007: Reloaded,X360,2011,Shooter,Activision,0.25,0.2,0,0.5,72,56,6,96,Eurocom Entertainment Software,Below Average
Dance Dance Revolution Universe 2,X360,2007,Simulation,Konami Digital Entertainment,0.46,0,0,0.5,65,10,7.4,5,Konami,Excelent
Nicktoons: Attack of the Toybots,PS2,2007,Platform,THQ,0.24,0.19,0,0.5,,,tbd,,Blue Tongue,Average
GoldenEye: Rogue Agent,XB,2004,Shooter,Electronic Arts,0.34,0.13,0,0.49,61,55,7.2,20,EA LA,Below Average
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.2,0.21,0,0.49,81,29,7.7,111,PopCap,Excelent
Medal of Honor,PC,2010,Shooter,Electronic Arts,0.2,0.23,0,0.49,72,26,6.4,516,"Dice, Danger Close",Good
Sniper: Art of Victory,PC,2008,Shooter,City Interactive,0,0.45,0,0.49,36,7,3.6,16,City Interactive,Good
You're in the Movies,X360,2008,Misc,Microsoft Game Studios,0.27,0.17,0,0.48,55,21,5.5,20,Zoe Mode,Average
Scene It? Lights Camera Action,X360,2007,Misc,Microsoft Game Studios,0.43,0.01,0,0.48,73,41,8.1,21,"Screenlife Games, WXP",Below Average
Dark Sector,X360,2008,Shooter,D3Publisher,0.22,0.2,0.01,0.48,72,71,7.5,147,Digital Extremes,Good
Bratz: The Movie,PS2,2007,Simulation,THQ,0.24,0.18,0,0.48,,,5,4,Blitz Games,Average
Doom 3 BFG Edition,X360,2012,Shooter,Bethesda Softworks,0.28,0.15,0,0.47,67,30,6.5,132,id Software,Good
James Bond 007: Blood Stone,X360,2010,Shooter,Activision,0.2,0.23,0,0.47,62,66,7.1,63,Bizarre Creations,Below Average
Dark Sector,PS3,2008,Shooter,D3Publisher,0.23,0.16,0.01,0.47,72,47,7.6,70,Digital Extremes,Good
Unreal Tournament III,X360,2008,Shooter,Midway Games,0.25,0.17,0.01,0.47,82,47,7.6,95,Epic Games,Good
F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.2,0.01,0.47,79,48,7.9,98,Monolith Productions,Good
Crash: Mind Over Mutant,X360,2008,Platform,Vivendi Games,0.22,0.2,0,0.47,60,42,6.5,23,Radical Entertainment,Excelent
Viva Pinata: Trouble in Paradise,X360,2008,Simulation,Microsoft Game Studios,0.16,0.25,0.01,0.47,82,64,7.9,61,Rare Ltd.,Average
"Warhammer 40,000: Dawn of War II",PC,2009,Strategy,THQ,0,0.45,0,0.47,85,67,8.1,1502,Relic,Good
World Series of Poker,PS2,2005,Misc,Activision,0.39,0.01,0,0.47,46,15,8.2,20,Activision,Excelent
The Sims 3: Ambitions,PC,2010,Simulation,Electronic Arts,0,0.29,0,0.46,74,25,7.3,51,EA Redwood Shores,Below Average
SingStar Amped,PS2,2007,Misc,Sony Computer Entertainment,0.23,0.18,0,0.46,76,20,tbd,,SCEE London Studio,Below Average
Brothers In Arms: Earned in Blood,PS2,2005,Shooter,Ubisoft,0.38,0.01,0,0.46,71,20,7.9,23,Gearbox Software,Good
Brothers In Arms: Road to Hill 30,PS2,2005,Shooter,Ubisoft,0.38,0.01,0,0.46,82,30,7.6,30,Gearbox Software,Good
Jak and Daxter: The Lost Frontier,PS2,2009,Platform,Sony Computer Entertainment,0.22,0.17,0,0.46,72,8,4.6,32,High Impact Games,Excelent
The Sims 3: Outdoor Living Stuff,PC,2011,Simulation,Electronic Arts,0,0.38,0,0.46,,,5.6,17,The Sims Studio,Below Average
Delta Force: Black Hawk Down,PS2,2005,Shooter,NovaLogic,0.22,0.17,0,0.46,58,25,8.8,51,Rebellion,Below Average
Area 51,PS2,2005,Shooter,Midway Games,0.22,0.17,0,0.45,75,37,8.4,52,Midway Studios - Austin,Good
Enemy Territory: Quake Wars,X360,2008,Shooter,Activision,0.3,0.11,0,0.45,69,54,7.3,26,Nerve Software,Below Average
Red Faction: Armageddon,PS3,2011,Shooter,THQ,0.2,0.15,0.03,0.45,71,52,7.3,58,Volition Inc.,Good
F.E.A.R. 3,PS3,2011,Shooter,Warner Bros. Interactive Entertainment,0.21,0.16,0.01,0.45,74,48,7.1,103,Day 1 Studios,Good
Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.13,0.29,0,0.45,81,23,8.2,1647,MachineGames,Good
F.E.A.R. 3,X360,2011,Shooter,Warner Bros. Interactive Entertainment,0.3,0.11,0.01,0.45,75,71,7,139,Day 1 Studios,Good
"Warhammer 40,000: Space Marine",PS3,2011,Shooter,THQ,0.13,0.23,0,0.44,70,46,7.4,162,Relic,Good
Wolfenstein: The New Order,PS3,2014,Shooter,Bethesda Softworks,0.14,0.21,0.02,0.44,,,7.1,115,MachineGames,Good
Battlefield 2: Modern Combat,PS2,2005,Shooter,Electronic Arts,0.37,0.01,0,0.44,80,42,8.5,65,Digital Illusions,Below Average
The Legend of Spyro: Dawn of the Dragon,PS3,2008,Platform,Vivendi Games,0.19,0.18,0,0.44,59,22,6.6,36,Etranges Libellules,Excelent
The Darkness,X360,2007,Shooter,Take-Two Interactive,0.36,0.04,0.01,0.44,82,63,8.1,196,Starbreeze,Good
Child of Eden,X360,2011,Shooter,Ubisoft,0.28,0.12,0,0.44,84,81,7.7,95,Q Entertainment,Excelent
Payday 2,PS3,2013,Shooter,505 Games,0.22,0.14,0,0.43,74,12,6.2,181,Overkill Software,Good
Just Dance 4,PS3,2012,Misc,Ubisoft,0.26,0.11,0,0.43,77,5,7.1,29,Ubisoft,Excelent
Monopoly,PS2,2008,Misc,Electronic Arts,0.21,0.16,0,0.43,,,7.2,6,Electronic Arts,Average
Max Payne 3,PC,2012,Shooter,Take-Two Interactive,0.16,0.22,0,0.43,87,30,7.6,2202,Rockstar Studios,Good
Rayman Legends,X360,2013,Platform,Ubisoft,0.19,0.2,0,0.43,90,35,8.2,217,Ubisoft Montpellier,Excelent
Disney Sing It,X360,2008,Misc,Disney Interactive Studios,0.39,0.01,0,0.43,53,10,5.2,6,Zoe Mode,Average
Microsoft Flight Simulator X,PC,2006,Simulation,Microsoft Game Studios,0.02,0.36,0,0.43,80,28,7.6,95,Microsoft Game Studios,Average
SEGA Classics Collection,PS2,2005,Misc,Sega,0.21,0.16,0,0.43,46,18,6.7,6,Sega,Below Average
The Legend of Spyro: The Eternal Night,PS2,2007,Platform,Vivendi Games,0.21,0.16,0,0.42,54,18,5.4,28,Krome Studios,Excelent
25 to Life,PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.42,39,23,4.9,46,"Ritual Entertainment, Avalanche Software",Good
Zone of the Enders HD Collection,PS3,2012,Simulation,Konami Digital Entertainment,0.21,0.07,0.09,0.42,73,27,8,42,High Voltage Software,Good
Guitar Hero: Smash Hits,X360,2009,Misc,Activision,0.23,0.15,0,0.42,71,56,5.9,18,Beenox,Below Average
Dance Dance Revolution Ultramix 2,XB,2004,Simulation,Konami Digital Entertainment,0.32,0.09,0,0.42,78,16,7.1,7,Konami Computer Entertainment Hawaii,Average
Thrillville: Off the Rails,PS2,2007,Strategy,LucasArts,0.2,0.16,0,0.42,70,11,1.7,30,Frontier Developments,Excelent
LEGO Rock Band,PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.24,0.12,0,0.42,75,36,7.6,18,TT Fusion,Excelent
Black,XB,2006,Shooter,Electronic Arts,0.31,0.09,0,0.42,77,65,8,51,Criterion Games,Good
Spec Ops: The Line,X360,2012,Shooter,Take-Two Interactive,0.21,0.17,0,0.42,76,59,8.2,319,Yager,Good
Vanquish,X360,2010,Shooter,Sega,0.19,0.16,0.03,0.42,84,70,8.4,182,PlatinumGames,Good
Blazing Angels: Squadrons of WWII,X360,2006,Simulation,Ubisoft,0.36,0.02,0,0.42,66,58,7.9,53,Ubisoft,Below Average
High Rollers Casino,PS2,2004,Misc,Mud Duck Productions,0.2,0.16,0,0.42,,,tbd,,Virtual Toys,Average
Just Dance 2014,PS4,2013,Misc,Ubisoft,0.19,0.16,0,0.41,75,4,5.5,51,Ubisoft,Excelent
Tom Clancy's Rainbow Six: Lockdown,XB,2005,Shooter,Ubisoft,0.26,0.13,0,0.41,74,39,6.6,28,"Red Storm Entertainment, Ubisoft Montreal",Good
TimeShift,X360,2007,Shooter,Vivendi Games,0.36,0.02,0,0.41,70,58,7.9,63,Saber Interactive,Good
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.05,0.31,0,0.41,69,17,8.7,12,Maximum Games,Average
Battlefield: Hardline,PS3,2015,Shooter,Electronic Arts,0.13,0.15,0.07,0.41,,,5.3,81,Visceral Games,Good
Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.22,0.15,0,0.41,79,33,5.8,1188,Massive Entertainment,Good
Green Day: Rock Band,PS3,2010,Misc,MTV Games,0.19,0.15,0,0.41,76,41,6.3,24,"Harmonix Music Systems, Demiurge Studios",Below Average
BioShock,PC,2007,Shooter,Take-Two Interactive,0.01,0.39,0,0.41,96,44,8.5,3606,"Irrational Games, 2K Marin",Good
Band Hero,PS2,2009,Misc,Activision,0.15,0.06,0,0.41,,,4.4,7,BudCat,Excelent
Call of Duty: Advanced Warfare,PC,2014,Shooter,Activision,0.15,0.23,0,0.41,78,18,4.5,1136,Sledgehammer Games,Good
"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005,Platform,Midway Games,0.34,0.01,0,0.41,50,5,7.6,16,Artificial Mind and Movement,Average
Green Day: Rock Band,X360,2010,Misc,MTV Games,0.24,0.13,0,0.41,75,54,6.6,32,"Harmonix Music Systems, Demiurge Studios",Below Average
Battlefield 2: Modern Combat,X360,2006,Shooter,Electronic Arts,0.35,0.02,0.01,0.41,77,54,7.3,79,Digital Illusions,Below Average
Fantastic Pets,X360,2011,Simulation,THQ,0.3,0.08,0,0.41,66,11,7.5,4,Blitz Games Studios,Average
Duke Nukem Forever,PC,2011,Shooter,Take-Two Interactive,0.18,0.17,0,0.41,54,48,5.7,1183,"Gearbox Software, 3D Realms",Good
Katamari Forever,PS3,2009,Puzzle,Namco Bandai Games,0.26,0.04,0.06,0.4,74,51,8.1,50,Bandai Namco Games,Average
Just Dance Kids 2,X360,2011,Misc,Ubisoft,0.29,0.08,0,0.4,,,tbd,,Ubisoft,Average
Overlord,X360,2007,Strategy,Codemasters,0.34,0.03,0.01,0.4,76,47,8.3,70,Triumph Studios,Below Average
The Legend of Spyro: Dawn of the Dragon,PS2,2008,Platform,Vivendi Games,0.12,0.01,0,0.4,,,7.1,25,Etranges Libellules,Excelent
Wall-E,PS3,2008,Platform,THQ,0.12,0.21,0,0.4,51,24,5,7,Heavy Iron Studios,Average
Atari Anthology,PS2,2004,Misc,Atari,0.33,0.01,0,0.4,66,12,4.3,6,Digital Eclipse,Average
The Gunstringer,X360,2011,Shooter,Microsoft Game Studios,0.26,0.1,0,0.4,77,60,8.1,40,Twisted Pixel Games,Below Average
Armored Core V,PS3,2012,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.39,65,26,7.3,47,From Software,Below Average
Skylanders SWAP Force,PS4,2013,Platform,Activision,0.2,0.12,0,0.39,79,7,5.2,45,Vicarious Visions,Excelent
Monopoly Streets,PS3,2010,Misc,Electronic Arts,0.16,0.17,0,0.39,64,11,6.1,9,Electronic Arts,Average
The Darkness II,X360,2012,Shooter,Take-Two Interactive,0.24,0.11,0,0.39,80,71,7.5,219,Digital Extremes,Good
Ice Age 2: The Meltdown,PS2,2006,Platform,Vivendi Games,0.19,0.15,0,0.39,68,19,8,6,Eurocom Entertainment Software,Excelent
Tom Clancy's Ghost Recon 2: Summit Strike,XB,2005,Shooter,Ubisoft,0.29,0.08,0,0.39,84,40,7.2,35,Red Storm Entertainment,Below Average
Just Dance 2015,PS4,2014,Misc,Ubisoft,0.19,0.13,0,0.39,72,8,5.8,32,Ubisoft,Excelent
Karaoke Revolution Presents American Idol Encore,PS2,2008,Misc,Konami Digital Entertainment,0.19,0.15,0,0.39,76,4,tbd,,Blitz Games,Average
Red Faction: Armageddon,X360,2011,Shooter,THQ,0.18,0.16,0.01,0.39,71,74,7,77,Volition Inc.,Good
Farming Simulator 2013,X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0,0.38,33,12,6.2,30,Giants Software,Average
Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,0.26,0.05,0,0.38,78,51,6.3,87,Harmonix Music Systems,Below Average
Wolfenstein: The New Order,X360,2014,Shooter,Bethesda Softworks,0.18,0.17,0,0.38,,,7.4,98,MachineGames,Good
Bratz: Rock Angelz,PS2,2005,Misc,THQ,0.19,0.15,0,0.38,60,7,5.1,7,Blitz Games,Average
Battlefield 1,PC,2016,Shooter,Electronic Arts,0.11,0.24,0,0.38,88,54,7.6,1137,EA DICE,Good
Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,Platform,Take-Two Interactive,0.19,0.15,0,0.38,,,tbd,,High Voltage Software,Average
Mercenaries 2: World in Flames,PS2,2008,Shooter,Electronic Arts,0.21,0,0,0.38,49,10,7.4,31,Artificial Mind and Movement,Below Average
Dawn of Discovery,PC,2009,Simulation,Ubisoft,0,0.32,0,0.38,82,32,8.8,132,"Blue Byte, Related Designs",Below Average
Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0,0.33,0,0.38,81,52,7.7,519,Ensemble Studios,Below Average
EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment,0.18,0.14,0,0.38,78,30,7,9,SCEE,Excelent
Dance Dance Revolution Ultramix 3,XB,2005,Simulation,Konami Digital Entertainment,0.28,0.08,0,0.38,75,16,8.6,8,Konami,Excelent
Just Dance 2014,PS3,2013,Misc,Ubisoft,0.17,0.14,0,0.38,77,6,7.1,25,Ubisoft,Excelent
Disney Sing It,PS3,2008,Misc,Disney Interactive Studios,0.28,0.06,0,0.37,54,11,3.5,6,Zoe Mode,Average
Petz: Catz 2,PS2,2006,Simulation,Ubisoft,0.18,0.14,0,0.37,,,tbd,,Ubisoft,Average
Trivial Pursuit,X360,2009,Misc,Electronic Arts,0.12,0.21,0,0.37,66,19,6.4,9,EA Bright Light,Average
Quake 4,X360,2005,Shooter,Activision,0.32,0.02,0,0.37,75,52,6.7,80,Raven Software,Good
Rage,PC,2011,Shooter,Bethesda Softworks,0.14,0.18,0,0.37,79,32,5.2,1618,id Software,Good
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.37,84,39,8.5,210,2K Games,Good
Destiny: The Taken King,PS3,2015,Shooter,Activision,0.17,0.11,0.02,0.37,,,5.5,81,Bungie,Below Average
Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0,0.37,62,61,7.5,26,GRIN,Good
Medieval II: Total War Gold Edition,PC,2008,Strategy,Sega,0,0.34,0,0.37,,,8,9,Sega,Below Average
The Sims 2: Castaway,PS2,2007,Simulation,Electronic Arts,0.3,0.01,0,0.37,71,17,8,15,EA Redwood Shores,Below Average
Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0,0.36,81,78,5.5,1027,Firaxis Games,Excelent
Left 4 Dead 2,PC,2009,Shooter,Valve Software,0,0.32,0,0.36,89,55,8.5,2530,Valve Software,Good
NARC,PS2,2005,Shooter,Midway Games,0.18,0.14,0,0.36,50,24,7,21,Point of View,Good
Bionic Commando,PS3,2009,Platform,Capcom,0.12,0.17,0.01,0.36,71,48,7.4,62,GRIN,Good
MechAssault 2: Lone Wolf,XB,2004,Simulation,Microsoft Game Studios,0.27,0.08,0,0.36,81,66,7.5,23,Day 1 Studios,Below Average
Just Dance 2016,PS4,2015,Misc,Ubisoft,0.17,0.13,0,0.36,73,10,6.8,20,Ubisoft,Excelent
Earth Defense Force 2025,PS3,2013,Shooter,D3Publisher,0.04,0.02,0.27,0.35,69,28,7.5,52,Sandlot,Good
Guitar Hero: Smash Hits,PS3,2009,Misc,Activision,0.2,0.11,0,0.35,73,34,7.2,9,Beenox,Below Average
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.06,0.21,0.03,0.35,48,43,3.8,212,Deep Silver Dambuster Studios,Good
Football Manager 2016,PC,2015,Simulation,Sega,0,0.33,0,0.35,81,34,6.9,97,Sega,Average
Defiance,PS3,2013,Shooter,Trion Worlds,0.19,0.1,0,0.35,59,21,6.9,145,Trion Worlds,Good
Terminator Salvation,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.13,0.18,0,0.35,48,50,5,53,GRIN,Below Average
Destiny: The Taken King,X360,2015,Shooter,Activision,0.24,0.08,0,0.35,,,4.4,59,"Bungie Software, Bungie",Below Average
Guitar Hero: Metallica,PS2,2009,Misc,Activision,0.17,0.13,0,0.35,,,7.6,9,Neversoft Entertainment,Below Average
Tom Clancy's Rainbow Six: Lockdown,PS2,2005,Shooter,Ubisoft,0.17,0.13,0,0.35,70,15,6.9,9,"Red Storm Entertainment, Ubisoft Montreal",Good
The Tale of Despereaux,PS2,2008,Platform,Brash Entertainment,0.17,0.13,0,0.35,,,tbd,,Brash Entertainment,Excelent
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.11,0.16,0.02,0.35,69,50,4.7,578,EA DICE,Below Average
Enemy Territory: Quake Wars,PS3,2008,Shooter,Activision,0.23,0.07,0,0.35,60,30,6.4,14,"Z-Axis, Ltd.",Below Average
Hitman: Contracts,XB,2004,Shooter,Eidos Interactive,0.26,0.07,0,0.34,78,44,8.8,15,Io Interactive,Good
Supreme Commander 2,X360,2010,Strategy,Square Enix,0.23,0.09,0,0.34,75,28,7.1,23,Gas Powered Games,Excelent
Company of Heroes 2,PC,2013,Strategy,THQ,0.06,0.25,0,0.34,80,82,2.1,6157,Relic,Good
The Urbz: Sims in the City,XB,2004,Simulation,Electronic Arts,0.22,0.11,0,0.34,70,28,6.5,10,Maxis,Below Average
Monopoly,PS3,2008,Misc,Electronic Arts,0.25,0.05,0,0.34,54,4,6.7,13,Electronic Arts,Average
F.E.A.R.,X360,2006,Shooter,Vivendi Games,0.28,0.03,0,0.34,85,44,7.3,131,Day 1 Studios,Good
The Sims 3: Town Life Stuff,PC,2011,Simulation,Electronic Arts,0.11,0.17,0,0.34,,,6.3,14,The Sims Studio,Below Average
The Shoot,PS3,2010,Shooter,Sony Computer Entertainment,0.13,0.15,0.01,0.34,60,39,6.2,11,Cohort Studios,Below Average
Delta Force: Black Hawk Down,XB,2005,Shooter,NovaLogic,0.25,0.07,0,0.34,61,37,6.6,19,Climax Group,Below Average
World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,Oxygen Interactive,0.16,0.13,0,0.34,67,20,tbd,,Point of View,Below Average
The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment,0.28,0,0.02,0.33,75,43,8.2,51,SCEJ,Below Average
Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,Shooter,Ubisoft,0.21,0.11,0,0.33,66,14,6,27,Ubisoft Shanghai,Below Average
Fracture,X360,2008,Shooter,LucasArts,0.15,0.14,0,0.33,63,60,6.2,45,Day 1 Studios,Below Average
Sniper: Ghost Warrior 2,PS3,2013,Shooter,City Interactive,0.05,0.18,0.03,0.33,52,15,6,82,City Interactive,Good
Alien: Isolation,PS3,2014,Shooter,Sega,0.12,0.16,0,0.33,,,8.3,111,Creative Assembly,Good
Battlestations: Pacific,X360,2009,Strategy,Eidos Interactive,0.17,0.11,0.01,0.32,76,48,7.4,41,Eidos Interactive,Below Average
Def Jam Rapstar,PS3,2010,Misc,Konami Digital Entertainment,0.25,0.04,0,0.32,75,25,6.3,4,"Terminal Reality, 4mm Games",Below Average
Dead Space 2,PC,2011,Shooter,Electronic Arts,0.13,0.15,0,0.32,87,28,8.3,974,Visceral Games,Good
Minute to Win It,X360,2011,Misc,Zoo Games,0.3,0,0,0.32,,,tbd,,Smack Down Productions,Average
The Black Eyed Peas Experience,X360,2011,Misc,Ubisoft,0.2,0.1,0,0.32,66,17,5.8,8,iNiS,Below Average
Dance Dance Revolution Universe,X360,2007,Simulation,Konami Digital Entertainment,0.3,0,0,0.32,74,26,8.8,5,Konami,Excelent
Darkwatch,PS2,2005,Shooter,Ubisoft,0.16,0.12,0,0.32,74,37,8.4,42,High Moon Studios,Good
Beautiful Katamari,X360,2007,Puzzle,Namco Bandai Games,0.14,0.02,0.15,0.32,73,52,7,40,Now Production,Average
Just Dance 2016,X360,2015,Misc,Ubisoft,0.23,0.05,0,0.32,,,6,5,Ubisoft,Excelent
Operation Flashpoint: Red River,PS3,2011,Shooter,Codemasters,0.06,0.14,0.07,0.32,67,36,6.3,18,Codemasters,Good
Karaoke Revolution Volume 3,PS2,2004,Misc,Konami Digital Entertainment,0.16,0.12,0,0.32,82,25,7.8,10,Harmonix Music Systems,Average
Rock Band Country Track Pack,PS2,2009,Misc,MTV Games,0.16,0.12,0,0.32,,,tbd,,Harmonix Music Systems,Excelent
Prey,X360,2006,Shooter,Take-Two Interactive,0.27,0.03,0,0.32,79,80,7.3,117,Venom Games,Good
The Darkness II,PS3,2012,Shooter,Take-Two Interactive,0.14,0.13,0,0.32,79,28,7.6,127,Digital Extremes,Good
Kingdom Under Fire: The Crusaders,XB,2004,Strategy,Deep Silver,0.24,0.07,0,0.32,81,50,7.9,31,Phantagram,Good
Clive Barker's Jericho,X360,2007,Shooter,Codemasters,0.28,0.01,0,0.32,63,46,7.4,70,"Mercury Steam, Alchemic Productions",Good
DJ Hero,PS2,2009,Misc,Activision,0.1,0.02,0,0.32,87,4,6.4,5,FreeStyleGames,Below Average
Namco Museum: Virtual Arcade,X360,2008,Misc,Atari,0.27,0.01,0.01,0.31,63,16,tbd,,Namco Bandai Games,Excelent
The Settlers 7: Paths to a Kingdom,PC,2010,Strategy,Ubisoft,0,0.27,0,0.31,79,33,5.2,213,Blue Byte,Excelent
The Legend of Spyro: Dawn of the Dragon,X360,2008,Platform,Vivendi Games,0.16,0.12,0,0.31,62,35,7.2,26,Etranges Libellules,Excelent
Tropico 5,PS4,2015,Simulation,Kalypso Media,0.06,0.16,0.06,0.31,76,17,7.1,110,Haemimont,Below Average
Brothers In Arms: Earned in Blood,XB,2005,Shooter,Ubisoft,0.23,0.07,0,0.31,85,41,8.6,25,Gearbox Software,Good
Midway Arcade Treasures 2,XB,2004,Misc,Midway Games,0.24,0.05,0,0.31,74,38,7.4,7,Backbone Entertainment,Good
Karaoke Revolution Party,PS2,2005,Misc,Konami Digital Entertainment,0.15,0.12,0,0.3,78,25,tbd,,Harmonix Music Systems,Excelent
Sniper Elite 3,X360,2014,Shooter,505 Games,0.16,0.12,0,0.3,,,6.6,26,Rebellion,Good
Stranglehold,PS3,2007,Shooter,Midway Games,0.24,0.02,0,0.3,77,22,7.9,48,Midway,Good
Dance Dance Revolution Universe 3,X360,2008,Simulation,Konami Digital Entertainment,0.28,0,0,0.3,65,6,7.7,7,Konami,Average
Full Spectrum Warrior,PS2,2005,Strategy,THQ,0.15,0.11,0,0.3,74,24,8,13,Pandemic Studios,Good
The Sims 2: Pets,PS2,2006,Simulation,Electronic Arts,0.02,0.01,0,0.3,68,27,8,25,Maxis,Below Average
1701 A.D.,PC,2006,Simulation,Deep Silver,0,0.25,0,0.3,79,30,8.3,38,Related Designs,Excelent
Guitar Hero: Van Halen,X360,2009,Misc,Activision,0.16,0.1,0,0.29,57,34,5.8,17,"Neversoft Entertainment, Underground Development",Below Average
The Sims 2,PC,2004,Simulation,Electronic Arts,0.02,0.24,0,0.29,90,61,8.8,676,Maxis,Below Average
Def Jam Rapstar,X360,2010,Misc,Konami Digital Entertainment,0.25,0.02,0,0.29,74,36,5.4,9,"Terminal Reality, 4mm Games",Below Average
Front Mission Evolved,PS3,2010,Shooter,Square Enix,0.09,0.06,0.11,0.29,58,42,6,30,Double Helix Games,Below Average
Area 51,XB,2005,Shooter,Midway Games,0.22,0.06,0,0.29,72,43,8.1,16,Midway Studios - Austin,Good
Wanted: Weapons of Fate,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.14,0.1,0.01,0.29,61,56,7.1,25,GRIN,Good
Mega Man X8,PS2,2004,Platform,Capcom,0.14,0.11,0,0.29,68,23,8.5,63,"Valuewave Co.,Ltd.",Average
The Chronicles of Riddick: Assault on Dark Athena,X360,2009,Shooter,Atari,0.16,0.1,0,0.29,82,67,8.2,73,Starbreeze,Good
Heroes of the Pacific,PS2,2005,Simulation,Codemasters,0.14,0.11,0,0.29,76,31,8.4,15,IR Gurus,Below Average
Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,0.11,0.15,0,0.29,75,55,6.2,703,2K Australia,Good
Turning Point: Fall of Liberty,X360,2008,Shooter,Codemasters,0.23,0.04,0,0.29,43,44,6.8,87,Spark Unlimited,Below Average
Call of Juarez: The Cartel,PS3,2011,Shooter,Ubisoft,0.12,0.12,0,0.29,45,42,5.5,74,Techland,Good
Angry Birds Star Wars,PS3,2013,Strategy,Activision,0.1,0.14,0,0.29,49,6,3.6,23,Exient Entertainment,Average
Psi-Ops: The Mindgate Conspiracy,PS2,2004,Shooter,Midway Games,0.14,0.11,0,0.29,84,46,8.9,27,Midway,Good
World of Tanks,PC,2011,Shooter,Wargaming.net,0,0.23,0,0.29,80,38,3.7,1466,Wargaming.net,Below Average
SingStar Country,PS2,2008,Misc,Sony Computer Entertainment,0.14,0.11,0,0.28,75,13,tbd,,SCEE London Studio,Below Average
Battlefield: Hardline,X360,2015,Shooter,Electronic Arts,0.17,0.09,0,0.28,,,4.1,65,Visceral Games,Good
Hatsune Miku: Project Diva f,PS3,2013,Misc,Sega,0.08,0,0.19,0.28,73,10,8.4,108,Sega,Below Average
DeathSmiles,X360,2009,Shooter,Rising Star Games,0.15,0.06,0.05,0.28,76,29,8.4,47,Cave,Below Average
Chromehounds,X360,2006,Simulation,Sega,0.24,0,0.01,0.28,71,60,7,72,From Software,Below Average
Carol Vorderman's Sudoku,PS2,2006,Puzzle,Xplosiv,0,0.23,0,0.28,75,4,tbd,,Atomic Planet Entertainment,Average
Operation Flashpoint: Red River,X360,2011,Shooter,Codemasters,0.1,0.14,0.01,0.28,69,64,6.1,29,Codemasters,Good
Syphon Filter: Dark Mirror,PS2,2007,Shooter,Sony Computer Entertainment,0.14,0.11,0,0.28,70,24,7.8,12,Sony Bend,Below Average
